t1B1c1, t1B1c1, t1C1c1, t1C1c1, t1D1c1, t1D1c1, t1E1c1, t1E1c1, t1F1c1, t1F1c1, t1G1c1, t1G1c1, 
Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, 
p1B6, , p1C6, , p1D6, , p1E6, , p1F6, , p1G6, , 
X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, 
1697.84, 0.03930846, 1697.84, 0.00461248, 1697.84, 0.00139021, 1697.84, 0.00006362, 1697.84, 0.00150815, 1697.84, 0.0013903, 
1698.04, 0.03987031, 1698.04, 0.00472691, 1698.04, 0.00200885, 1698.04, -0.00026281, 1698.04, 0.00236885, 1698.04, 0.00172486, 
1698.24, 0.03997983, 1698.24, 0.00421107, 1698.24, 0.00252676, 1698.24, -0.00057068, 1698.24, 0.00229917, 1698.24, 0.00187193, 
1698.44, 0.04054762, 1698.44, 0.00389054, 1698.44, 0.00272484, 1698.44, -0.0007779, 1698.44, 0.00219944, 1698.44, 0.00154211, 
1698.64, 0.03998971, 1698.64, 0.00355758, 1698.64, 0.00278013, 1698.64, -0.00090586, 1698.64, 0.00196273, 1698.64, 0.00079148, 
1698.84, 0.03954297, 1698.84, 0.00291002, 1698.84, 0.00242708, 1698.84, -0.00155483, 1698.84, 0.00120237, 1698.84, 0.00002031, 
1699.04, 0.03940626, 1699.04, 0.00274788, 1699.04, 0.00265866, 1699.04, -0.00121242, 1699.04, 0.00122343, 1699.04, -0.00000735, 
1699.24, 0.03930092, 1699.24, 0.00279255, 1699.24, 0.00224055, 1699.24, -0.00138312, 1699.24, 0.00105424, 1699.24, -0.00026751, 
1699.44, 0.03931465, 1699.44, 0.00268838, 1699.44, 0.00224991, 1699.44, -0.00195454, 1699.44, 0.00090415, 1699.44, -0.00026902, 
1699.64, 0.03953403, 1699.64, 0.00283529, 1699.64, 0.00234276, 1699.64, -0.00162693, 1699.64, 0.00061712, 1699.64, -0.00043019, 
1699.84, 0.03930558, 1699.84, 0.00270964, 1699.84, 0.00247881, 1699.84, -0.00134205, 1699.84, 0.00024308, 1699.84, 0.00003431, 
1700.04, 0.03905942, 1700.04, 0.00222202, 1700.04, 0.00243614, 1700.04, -0.00195736, 1700.04, -0.00048728, 1700.04, 0.00010296, 
1700.24, 0.03906492, 1700.24, 0.00223759, 1700.24, 0.00126568, 1700.24, -0.00217278, 1700.24, -0.00134121, 1700.24, -0.00056533, 
1700.44, 0.03914334, 1700.44, 0.00183459, 1700.44, 0.00108315, 1700.44, -0.00253986, 1700.44, -0.00189468, 1700.44, -0.00138933, 
1700.64, 0.0384494, 1700.64, 0.00147894, 1700.64, 0.00040263, 1700.64, -0.00231919, 1700.64, -0.00293371, 1700.64, -0.00162355, 
1700.84, 0.03889709, 1700.84, 0.00172683, 1700.84, -0.00000311, 1700.84, -0.00226376, 1700.84, -0.00273851, 1700.84, -0.00159243, 
1701.04, 0.03943574, 1701.04, 0.00197542, 1701.04, -0.00076124, 1701.04, -0.00283626, 1701.04, -0.00251677, 1701.04, -0.00150344, 
1701.24, 0.0402361, 1701.24, 0.00195026, 1701.24, -0.0007932, 1701.24, -0.00215204, 1701.24, -0.00264238, 1701.24, -0.00169271, 
1701.44, 0.04070715, 1701.44, 0.00251471, 1701.44, -0.00086348, 1701.44, -0.00197218, 1701.44, -0.00212918, 1701.44, -0.00152673, 
1701.64, 0.0406651, 1701.64, 0.00267525, 1701.64, -0.00119473, 1701.64, -0.00248161, 1701.64, -0.00207819, 1701.64, -0.00151618, 
1701.84, 0.04098008, 1701.84, 0.00266501, 1701.84, -0.0009358, 1701.84, -0.00258041, 1701.84, -0.00138183, 1701.84, -0.00121885, 
1702.04, 0.04171965, 1702.04, 0.00311182, 1702.04, -0.0004442, 1702.04, -0.00238386, 1702.04, -0.0006838, 1702.04, -0.00084242, 
1702.24, 0.04201698, 1702.24, 0.00343244, 1702.24, -0.00049481, 1702.24, -0.00236687, 1702.24, -0.00062678, 1702.24, -0.00135041, 
1702.44, 0.04212909, 1702.44, 0.00373914, 1702.44, -0.00085135, 1702.44, -0.00232191, 1702.44, -0.00010047, 1702.44, -0.00151591, 
1702.64, 0.04246673, 1702.64, 0.00408601, 1702.64, 0.00033878, 1702.64, -0.00159519, 1702.64, 0.00071249, 1702.64, -0.00127589, 
1702.84, 0.04300424, 1702.84, 0.00503144, 1702.84, 0.00091571, 1702.84, -0.00115428, 1702.84, 0.00209846, 1702.84, -0.00016799, 
1703.04, 0.04315988, 1703.04, 0.00543798, 1703.04, 0.00122372, 1703.04, -0.00055927, 1703.04, 0.0028561, 1703.04, 0.0008224, 
1703.24, 0.04344592, 1703.24, 0.00526706, 1703.24, 0.00110945, 1703.24, -0.00097956, 1703.24, 0.00292529, 1703.24, 0.00101282, 
1703.44, 0.04370227, 1703.44, 0.00473176, 1703.44, 0.00171521, 1703.44, -0.00110963, 1703.44, 0.00352069, 1703.44, 0.00095229, 
1703.64, 0.04368494, 1703.64, 0.0049581, 1703.64, 0.00186606, 1703.64, -0.0007338, 1703.64, 0.00319438, 1703.64, 0.00083559, 
1703.84, 0.04342737, 1703.84, 0.00467802, 1703.84, 0.00176645, 1703.84, -0.00044917, 1703.84, 0.00338011, 1703.84, 0.00154054, 
1704.04, 0.04303214, 1704.04, 0.00422999, 1704.04, 0.00142762, 1704.04, -0.00061857, 1704.04, 0.0024486, 1704.04, 0.00089593, 
1704.24, 0.0433125, 1704.24, 0.00383575, 1704.24, 0.00140014, 1704.24, -0.0007171, 1704.24, 0.0021551, 1704.24, 0.00030538, 
1704.44, 0.04268677, 1704.44, 0.00312983, 1704.44, 0.0012095, 1704.44, -0.00146101, 1704.44, 0.0019397, 1704.44, -0.00033912, 
1704.64, 0.04253801, 1704.64, 0.00257173, 1704.64, 0.00059694, 1704.64, -0.00172507, 1704.64, 0.00156325, 1704.64, -0.00036162, 
1704.84, 0.0429687, 1704.84, 0.00266871, 1704.84, 0.00016701, 1704.84, -0.00244047, 1704.84, 0.00136128, 1704.84, -0.00034921, 
1705.04, 0.04286556, 1705.04, 0.00265426, 1705.04, -0.0003712, 1705.04, -0.0026493, 1705.04, 0.00101501, 1705.04, -0.00066606, 
1705.24, 0.04258515, 1705.24, 0.00262178, 1705.24, -0.00028072, 1705.24, -0.00234295, 1705.24, 0.00080499, 1705.24, -0.00085929, 
1705.44, 0.04278087, 1705.44, 0.00313091, 1705.44, -0.00033333, 1705.44, -0.00235552, 1705.44, 0.00104531, 1705.44, -0.00070923, 
1705.64, 0.042809, 1705.64, 0.00343253, 1705.64, -0.00031699, 1705.64, -0.00250674, 1705.64, 0.00132297, 1705.64, -0.00061042, 
1705.84, 0.04286134, 1705.84, 0.00355163, 1705.84, -0.00004037, 1705.84, -0.00234557, 1705.84, 0.00054491, 1705.84, -0.00136043, 
1706.04, 0.04324246, 1706.04, 0.00392498, 1706.04, -0.00017743, 1706.04, -0.00268672, 1706.04, 0.00026208, 1706.04, -0.00142812, 
1706.24, 0.04346798, 1706.24, 0.00375285, 1706.24, -0.00053584, 1706.24, -0.00311752, 1706.24, -0.00075602, 1706.24, -0.00204736, 
1706.44, 0.04331605, 1706.44, 0.0035624, 1706.44, -0.00082789, 1706.44, -0.00306514, 1706.44, -0.00131532, 1706.44, -0.00202342, 
1706.64, 0.04327596, 1706.64, 0.00324853, 1706.64, -0.00031263, 1706.64, -0.00337979, 1706.64, -0.00187219, 1706.64, -0.00211258, 
1706.84, 0.04349053, 1706.84, 0.0042302, 1706.84, 0.00003068, 1706.84, -0.00338488, 1706.84, -0.00129271, 1706.84, -0.00119382, 
1707.04, 0.04330208, 1707.04, 0.00366856, 1707.04, -0.0002819, 1707.04, -0.00325573, 1707.04, -0.0020216, 1707.04, -0.00086465, 
1707.24, 0.04397407, 1707.24, 0.00394742, 1707.24, 0.00027251, 1707.24, -0.00305484, 1707.24, -0.00153762, 1707.24, -0.00026268, 
1707.44, 0.04441863, 1707.44, 0.00432897, 1707.44, 0.00100231, 1707.44, -0.00272099, 1707.44, -0.00107769, 1707.44, 0.00038005, 
1707.64, 0.04391594, 1707.64, 0.00442487, 1707.64, 0.00026223, 1707.64, -0.00270004, 1707.64, -0.00127907, 1707.64, 0.00010896, 
1707.84, 0.04361454, 1707.84, 0.00453466, 1707.84, -0.00033401, 1707.84, -0.00251864, 1707.84, -0.00127084, 1707.84, 0.00045826, 
1708.04, 0.04329391, 1708.04, 0.00429355, 1708.04, -0.00073537, 1708.04, -0.00267408, 1708.04, -0.00190125, 1708.04, -0.00009178, 
1708.24, 0.04326964, 1708.24, 0.00373592, 1708.24, -0.0003852, 1708.24, -0.00295251, 1708.24, -0.0014952, 1708.24, 0.00006805, 
1708.44, 0.0437563, 1708.44, 0.00416087, 1708.44, -0.00025239, 1708.44, -0.00280093, 1708.44, -0.00080375, 1708.44, 0.00013693, 
1708.64, 0.0440885, 1708.64, 0.00466957, 1708.64, -0.00012798, 1708.64, -0.00233331, 1708.64, -0.00070001, 1708.64, 0.00053718, 
1708.84, 0.04395667, 1708.84, 0.00511202, 1708.84, -0.00006377, 1708.84, -0.0023703, 1708.84, -0.00032736, 1708.84, 0.00049149, 
