 Data Alignment: None,,,,,,,,,,,,,,,
 Data Alignment Step: 0,,,,,,,,,,,,,,,
C:\Users\Labuser\Desktop\Laras\20230125_AR2G_1OLD\Experiment_1, 230125_001.frd, 230125_002.frd, 230125_003.frd, 230125_004.frd, 230125_005.frd, 230125_006.frd, 230125_007.frd, 230125_008.frd, 230125_009.frd, 230125_010.frd, 230125_011.frd, 230125_012.frd, 230125_013.frd, 230125_014.frd, 
X Values, A1, B1, C1, D1, E1, F1, G1, A2, B2, C2, D2, E2, F2, G2, 
1694.64,-0.13845363,-0.06146613,-0.09669636,-0.1078086,-0.1043643,-0.07787582,-0.08056937,-0.17769442,-0.18351705,-0.20548998,-0.19807382,-0.20149371,-0.19924676,-0.16276276, 
1694.82,-0.14413771,-0.06443586,-0.0993491,-0.10631005,-0.10319886,-0.0820666,-0.08421005,-0.18111959,-0.18652225,-0.20166643,-0.18775874,-0.20071162,-0.19344205,-0.16307257, 
1695.04,-0.14419022,-0.06360887,-0.10193665,-0.10644107,-0.10074636,-0.08173392,-0.08249863,-0.17438127,-0.18082912,-0.20423836,-0.19363457,-0.20071276,-0.19680609,-0.16476311, 
1695.25,-0.14068463,-0.06720088,-0.10304013,-0.10593696,-0.10116512,-0.08232349,-0.08237205,-0.17928132,-0.18180537,-0.19946247,-0.19520941,-0.20129904,-0.19711272,-0.16783029, 
1695.43,-0.1401884,-0.06554717,-0.10388694,-0.10556669,-0.10727245,-0.07533843,-0.08440153,-0.18227382,-0.1826724,-0.2007349,-0.19293822,-0.19955437,-0.19430387,-0.16365863, 
1695.64,-0.14020106,-0.0609801,-0.10074797,-0.1073307,-0.10411782,-0.07909402,-0.08336937,-0.17996882,-0.18289395,-0.19933899,-0.19287689,-0.2013858,-0.19505221,-0.16408056, 
1695.84,-0.13888271,-0.05885566,-0.10189641,-0.10886794,-0.10422307,-0.07702485,-0.08251279,-0.18151113,-0.18766475,-0.20409015,-0.19035918,-0.19943136,-0.19853045,-0.16162914, 
1696.03,-0.1390488,-0.06503231,-0.1006255,-0.10752663,-0.10129701,-0.08028047,-0.08296513,-0.18198138,-0.18924382,-0.20485207,-0.19238061,-0.20134057,-0.19653754,-0.1686717, 
1696.24,-0.14059229,-0.06204691,-0.10311751,-0.10774942,-0.10066241,-0.07684094,-0.0818035,-0.18275392,-0.18910144,-0.20448305,-0.19446205,-0.20379166,-0.19434738,-0.16179612, 
1696.45,-0.13941494,-0.06318224,-0.1004978,-0.10784214,-0.09938986,-0.07704937,-0.08522695,-0.18308623,-0.17914522,-0.20247339,-0.18748243,-0.20191252,-0.19047457,-0.16373606, 
